Date, Close/Last, Volume, Open, High, Low
08/21/2020, $22.59, 4520157, $22.65, $22.6909, $22.27
08/20/2020, $22.65, 4875385, $22.635, $22.77, $22.33
08/19/2020, $22.69, 6626873, $22.93, $23.73, $22.555
08/18/2020, $22.85, 4019087, $22.922, $23.045, $22.705
08/17/2020, $22.8, 5007355, $22.94, $23.165, $22.67
08/14/2020, $22.92, 5764338, $23.18, $23.3, $22.795
08/13/2020, $22.97, 8973739, $22.45, $23.5, $22.2205
08/12/2020, $22.515, 3952360, $22.49, $22.79, $22.36
08/11/2020, $22.38, 6778171, $22.91, $22.99, $22.255
08/10/2020, $23, 6874159, $23.42, $23.59, $22.82
08/07/2020, $23.36, 12987770, $23.04, $23.66, $22.53
08/06/2020, $22.16, 6752990, $21.91, $22.16, $21.555
08/05/2020, $21.9, 7654758, $22.17, $22.17, $21.8201
08/04/2020, $22.1, 8813681, $21.93, $22.11, $21.53
08/03/2020, $21.96, 7817572, $21.44, $21.99, $21.225
07/31/2020, $21.45, 4078088, $21.19, $21.58, $20.8467
07/30/2020, $21.13, 2498514, $20.91, $21.26, $20.62
07/29/2020, $21.18, 4048192, $20.65, $21.345, $20.65
07/28/2020, $20.57, 4255087, $20.71, $20.89, $20.4
07/27/2020, $20.82, 3203386, $20.59, $21.0153, $20.3523
07/24/2020, $20.385, 3695534, $21.06, $21.06, $20.32
