iter	MultiClass
0	2.27212828
1	1.960982289
2	1.728905957
3	1.567665193
4	1.438320348
5	1.305629002
6	1.19468067
7	1.105761392
8	1.02090319
9	0.9603275809
10	0.8993026988
11	0.8433489672
12	0.788654849
13	0.7448660013
14	0.6970003108
15	0.65556961
16	0.6202883418
17	0.5829800474
18	0.5558125247
19	0.5312121277
20	0.5056815923
21	0.4838632495
22	0.4664437141
23	0.448163061
24	0.4304072348
25	0.4165119031
26	0.4056319623
27	0.3903070332
28	0.3761939234
29	0.3640932965
30	0.3480077365
31	0.3343613713
32	0.3250147862
33	0.3106394615
34	0.3016576303
35	0.2939429978
36	0.280053447
37	0.2706546891
38	0.2634661579
39	0.2579768618
40	0.2498303193
41	0.2402519014
42	0.2290684923
43	0.2218319983
44	0.2128202104
45	0.2080291975
46	0.2007698188
47	0.1940456346
48	0.1895322651
49	0.1858186343
50	0.1820414209
51	0.174185716
52	0.1701892233
53	0.1647027603
54	0.1616871776
55	0.1590837899
56	0.1548634687
57	0.1509544524
58	0.147227697
59	0.1438158977
60	0.1388971419
61	0.137336137
62	0.1350958527
63	0.1335591177
64	0.1280306369
65	0.1258128247
66	0.1225315212
67	0.1194946563
68	0.1157418424
69	0.1142369976
70	0.1116269893
71	0.108559561
72	0.1069679349
73	0.1058011442
74	0.1038516557
75	0.1017487627
76	0.09995164597
77	0.09745223302
78	0.09615106847
79	0.09507042469
80	0.09405595272
81	0.09252637712
82	0.0904927684
83	0.08994483816
84	0.08728838838
85	0.08621161069
86	0.08484350663
87	0.08382863331
88	0.08220399781
89	0.08072162315
90	0.08006455424
91	0.07910365986
92	0.07877623087
93	0.07816547135
94	0.07776435282
95	0.07759504819
96	0.07598254813
97	0.0756797852
98	0.0742570749
99	0.07396897067
100	0.07300155404
101	0.07130898411
102	0.07108653717
103	0.07062099897
104	0.06970472701
105	0.06905345192
106	0.06890905399
107	0.06835228426
108	0.06815402576
109	0.06775114181
110	0.06686447378
111	0.06607260931
112	0.06580778688
113	0.06479631754
114	0.06345717854
115	0.06334280076
116	0.06238473299
117	0.06225482108
118	0.06187037143
119	0.06147434751
120	0.06022380207
121	0.0592317295
122	0.05800512155
123	0.05727197735
124	0.05724062251
125	0.05670306029
126	0.0562545018
127	0.05607670423
128	0.05589626294
129	0.05580957677
130	0.05532473625
131	0.05522868702
132	0.05497382155
133	0.05408855255
134	0.05314836379
135	0.05292901863
136	0.05287003058
137	0.05200734871
138	0.05150775006
139	0.05095918766
140	0.05086840718
141	0.05015360576
142	0.05014631023
