iter	Passed	Remaining
0	2787	2784470
1	5642	2815849
2	8691	2888624
3	11820	2943345
4	14689	2923139
5	17682	2929418
6	20712	2938210
7	23981	2973760
8	27178	2992660
9	30444	3013990
10	33574	3018615
11	36823	3031819
12	40013	3037942
13	43201	3042608
14	46230	3035782
15	49373	3036471
16	52486	3034942
17	55387	3021697
18	58354	3012953
19	61411	3009157
20	64666	3014669
21	67820	3014925
22	70896	3011579
23	73831	3002481
24	76823	2996097
25	79835	2990751
26	83010	2991452
27	85918	2982594
28	88762	2972019
29	92001	2974706
30	95014	2969978
31	97994	2964336
32	101021	2960224
33	103974	2954106
34	106937	2948408
35	109850	2941540
36	112841	2936934
37	115943	2935197
38	118878	2929280
39	121939	2926557
40	124921	2921941
41	128102	2921965
42	131360	2923538
43	134344	2918945
44	137203	2911766
45	140090	2905364
46	143068	2900939
47	146018	2896025
48	148898	2889839
49	151967	2887377
50	155064	2885420
51	157950	2879560
52	160881	2874624
53	163769	2869004
54	166706	2864323
55	169726	2861108
56	172742	2857821
57	175628	2852451
58	178582	2848241
59	181406	2842029
60	184389	2838396
61	187208	2832290
62	190139	2827942
63	192981	2822356
64	195893	2817846
65	198917	2814983
66	201985	2812725
67	204948	2808999
68	207917	2805373
69	210980	2803031
70	213908	2798885
71	216904	2795660
72	219881	2792194
73	222823	2788309
74	225762	2784404
75	228734	2780930
76	231848	2779167
77	234942	2777144
78	237863	2773068
79	240837	2769631
80	243787	2765938
81	246765	2762569
82	249662	2758322
83	252705	2755688
84	255520	2750598
85	258439	2746672
86	261467	2743908
87	264518	2741369
88	267675	2739911
89	270740	2737482
90	273610	2733097
91	276413	2728078
92	279356	2724474
93	282295	2720850
94	285239	2717280
95	288220	2714077
96	291254	2711372
97	294341	2709145
98	297381	2706473
99	300407	2703664
100	303531	2701726
101	306567	2698993
102	309563	2695906
103	312581	2693006
104	315612	2690221
105	318779	2688577
106	321697	2684819
107	324753	2682223
108	327638	2678218
109	330562	2674551
110	333505	2671048
111	336532	2668219
112	339559	2665391
113	342478	2661721
114	345390	2658001
115	348286	2654186
116	351536	2653051
117	354482	2649604
118	357393	2645915
119	360303	2642222
120	363371	2639696
121	366592	2638261
122	369435	2634105
123	372557	2631937
124	375680	2629762
125	378645	2626477
126	381515	2622543
127	384452	2619083
128	387351	2615370
129	390355	2612379
130	393448	2609976
131	396331	2606177
132	399300	2602960
133	402135	2598875
134	405345	2597214
135	408268	2593705
136	411479	2592021
137	414648	2590049
138	417784	2587858
139	420696	2584279
140	423731	2581459
141	426832	2579031
142	429737	2575418
